morphology_label,total_objects,modis_usable_objects,goes_H10_usable_objects,both_usable_H10_objects,modis_detection_retention,goes_H10_detection_retention,modis_signal_floor_fraction,goes_H10_signal_floor_fraction,modis_signal_retention_median_ref005,goes_H10_signal_retention_median_ref005,modis_signal_retention_median_ref010,goes_H10_signal_retention_median_ref010,median_area_km2,median_shift_distance_km
branching,1262,864,1254,862,0.010416666666666666,0.04146730462519936,0.9895833333333334,0.9585326953748007,0.2965364181733553,1.694254085126278,0.2765142060846436,1.3384708025107903,2.2567500000000003,11.187457491242943
diffuse,515,342,510,341,0.011695906432748537,0.025490196078431372,0.9883040935672515,0.9745098039215686,0.4193221742092849,1.676528207765088,0.3673392874573016,1.3713380991843451,1.3779,11.072126407700985
single_core_linear,609,395,601,395,0.005063291139240506,0.02329450915141431,0.9949367088607595,0.9767054908485857,0.6376626777708969,1.5420985948133357,0.509932383169887,1.075890887772788,0.6228,11.70444932073852
small_fragment,2502,1141,1506,1044,0.033304119193689745,0.049800796812749,0.9666958808063103,0.950199203187251,0.4159437077328806,1.6639040204018696,0.3318977062649848,1.4296084979320454,0.0171,11.478981930499355
unknown,314,205,313,205,0.00975609756097561,0.01597444089456869,0.9902439024390244,0.9840255591054313,0.4448896288204093,1.5142216107260311,0.34401578622024076,1.1198879236687804,0.5958,11.4973403057044
