metric,estimate,ci_lower_95,ci_upper_95,n_bootstrap,n_scenes,bootstrap_unit
modis_detection_retention,0.018663047166610113,0.013071658271436297,0.026183539980335666,1000,61,sdgsat_scene_id
goes_H10_detection_retention,0.038001912045889104,0.024453003687707593,0.05188771694353198,1000,61,sdgsat_scene_id
modis_signal_floor_fraction,0.9813369528333898,0.9738164600196643,0.9869283417285637,1000,61,sdgsat_scene_id
goes_H10_signal_floor_fraction,0.9619980879541109,0.948112283056468,0.9755469963122924,1000,61,sdgsat_scene_id
modis_signal_retention_median_ref005,0.4032317858305089,0.3500857957761489,0.46177027446025787,1000,61,sdgsat_scene_id
goes_H10_signal_retention_median_ref005,1.6490032771202054,1.4325863416715243,1.8412590729546532,1000,61,sdgsat_scene_id
modis_signal_retention_median_ref010,0.3306149483841392,0.28065652861235013,0.39334674230621036,1000,61,sdgsat_scene_id
goes_H10_signal_retention_median_ref010,1.3271147994233057,1.1665197985350249,1.4957219430215802,1000,61,sdgsat_scene_id
both_floor_H10_fraction,0.9385317878468563,0.9200651111064312,0.9549834790014567,1000,61,sdgsat_scene_id
