morphology_label,usable_objects,evaluable_objects,product_retrieval_floor_fraction_evaluable,cot_valid_fraction_median,cot_obj_median_median,cloud_mask_clear_fraction_median,signal_floor_fraction,detection_retention
branching,606,154,0.5844155844155844,0.0,0.86,0.0,0.995049504950495,0.0049504950495049506
diffuse,515,103,0.6019417475728155,0.0,0.99,0.0,0.9786407766990292,0.021359223300970873
single_core_linear,786,185,0.5837837837837838,0.0,1.57,0.0,0.989821882951654,0.010178117048346057
small_fragment,864,203,0.7192118226600985,0.0,1.0350000000000001,0.0,0.9745370370370371,0.02546296296296296
unknown,276,57,0.631578947368421,0.0,1.105,0.0,0.9927536231884058,0.007246376811594203
