scenario_name,cloud_top_height_km,goes_detection_retention,goes_signal_floor_fraction,goes_signal_retention_median_ref005,goes_signal_retention_median_ref010,both_floor_fraction,scenario_role,H8_H10_H12_ref005_range
H0,0,0.019799618320610685,0.9802003816793893,1.0299178214631752,0.8718768118295013,0.9639355742296919,nominal_control,1.533443-1.649801
H5,5,0.027259684361549498,0.9727403156384505,1.4020213305024636,1.1826640589408526,0.9529989477376359,sensitivity,1.533443-1.649801
H8,8,0.03879310344827586,0.9612068965517241,1.5334427934832966,1.222947268489618,0.9394366197183098,sensitivity,1.533443-1.649801
H10,10,0.038001912045889104,0.9619980879541109,1.6490032771202054,1.3271147994233057,0.9385317878468563,main,1.533443-1.649801
H12,12,0.03881169142309535,0.9611883085769046,1.6498007094024871,1.3587893898297516,0.9352340725096797,sensitivity,1.533443-1.649801
H14,14,0.031137724550898204,0.9688622754491018,1.5326129048299542,1.2351842896491088,0.9454609429978889,sensitivity,1.533443-1.649801
