result_version,sensor_class,sensor,n_scenes,n_objects_total,n_objects_usable,detection_retention,detection_retention_CI_low,detection_retention_CI_high,signal_floor_fraction,signal_floor_fraction_CI_low,signal_floor_fraction_CI_high,signal_retention_median_ref005,signal_retention_ref005_CI_low,signal_retention_ref005_CI_high,signal_retention_median_ref010,signal_retention_ref010_CI_low,signal_retention_ref010_CI_high,retrieval_floor_fraction,retrieval_floor_fraction_scope,morphology_specific_loss_available,notes
MODIS_BTD_v1,polar_orbiting,MODIS_Terra,81,3830,3047,0.015096816540859863,0.010965668615294868,0.019913030344694927,0.9849031834591402,0.9800869696553051,0.9890343313847052,0.4459710561261384,0.3888656303149178,0.5146358556021314,0.36829722095498996,0.3217194173715848,0.4226733400714891,,BTD_signal_floor_only,True,MODIS thermal BTD signal-floor metrics; no MOD06 product floor in this row.
MODIS_MOD06_product_v1_2,polar_orbiting,MODIS_Terra_MOD06,81,3830,3047,0.015096816540859863,0.010965668615294868,0.019913030344694927,0.9849031834591402,0.9800869696553051,0.9890343313847052,0.4459710561261384,0.3888656303149178,0.5146358556021314,0.36829722095498996,0.3217194173715848,0.4226733400714891,0.6296296296296297,MOD06_product_retrieval_floor_evaluable,True,MOD06 retrieval-floor fraction is evaluated only for objects passing product-evaluable rules; BTD metrics repeated for context.
GOES_ABI_nominal_v2,geostationary,GOES_ABI,61,5202,4192,0.019799618320610685,0.01490475024210076,0.02586285022946837,0.9802003816793893,0.9741371497705317,0.9850952497578992,1.0299178214631752,0.9100490980870322,1.1433152894260223,0.8718768118295013,0.7452515304050389,0.9809299472904424,,not_evaluated,True,GOES nominal BTD signal-floor metrics before formal parallax correction; no GOES cloud product retrieval floor evaluated.
GOES_ABI_H10_parallax_corrected_v2_1,geostationary,GOES_ABI,61.0,5202.0,4184.0,0.038001912045889104,0.024453003687707593,0.05188771694353198,0.9619980879541109,0.948112283056468,0.9755469963122924,1.6490032771202054,1.4325863416715243,1.8412590729546532,1.3271147994233057,1.1665197985350249,1.4957219430215802,,not_evaluated,True,Primary formal GOES parallax-corrected BTD signal-floor result at H10; GOES product retrieval floor not evaluated.
MODIS_GOES_joint_H10_v2_1,joint_polar_geostationary,MODIS_Terra_plus_GOES_ABI,53.0,5202.0,2847.0,0.0007024938531787847,,,0.9385317878468563,0.9200651111064312,0.9549834790014567,3.4015899361323525,,,,,,,not_evaluated,True,Joint same-scene row; signal-floor fraction is both-sensor floor fraction and retention value is GOES_H10/MODIS ratio for both-valid ref005 objects.
